Año;LOCALIDAD;EDAD;Adolescentes encuestados;Adolesc_alteraciónensalud;Adolesc_somnolenciadiurna;Adolesc_usodeAudifonos
2020;Usaquén;14;10;1;0;5
2020;Usaquén;15;14;1;0;9
2020;Usaquén;16;13;3;1;12
2020;Usaquén;17;12;0;0;10
2020;Usme;11;24;5;1;12
2020;Usme;12;26;0;1;17
2020;Usme;13;16;2;1;8
2020;Usme;14;19;0;0;12
2020;Usme;15;18;2;1;13
2020;Usme;16;12;0;0;8
2020;Usme;17;4;0;1;3
2021;Antonio Nariño;11;13;1;1;8
2021;Antonio Nariño;12;19;3;0;14
2021;Antonio Nariño;13;18;2;1;11
2021;Antonio Nariño;14;15;0;0;13
2021;Antonio Nariño;15;23;5;0;18
2021;Antonio Nariño;16;14;2;0;11
2021;Antonio Nariño;17;14;5;0;10
2021;Barrios Unidos;11;19;4;0;13
2021;Barrios Unidos;12;13;2;0;6
2021;Barrios Unidos;13;16;1;2;10
2021;Barrios Unidos;14;18;5;0;11
2021;Barrios Unidos;15;14;6;0;10
2021;Barrios Unidos;16;13;2;1;11
2021;Barrios Unidos;17;9;1;0;9
2021;Bosa;11;36;1;2;22
2021;Bosa;12;31;2;0;21
2021;Bosa;13;42;1;0;28
2021;Bosa;14;48;1;0;35
2021;Bosa;15;34;1;0;26
2021;Bosa;16;28;0;0;12
2021;Bosa;17;15;0;0;11
2021;Candelaria;11;6;2;0;5
2021;Candelaria;12;13;0;0;9
2021;Candelaria;13;7;1;0;5
2021;Candelaria;14;10;1;1;9
2021;Candelaria;15;4;0;0;3
2021;Candelaria;16;8;1;0;7
2021;Candelaria;17;2;1;0;2
2021;Chapinero;11;13;1;0;6
2021;Chapinero;12;12;1;0;7
2021;Chapinero;13;19;5;0;16
2021;Chapinero;14;15;0;0;10
2021;Chapinero;15;16;2;0;11
2021;Chapinero;16;14;1;0;11
2021;Chapinero;17;13;0;0;10
2021;Ciudad Bolívar;11;56;12;2;32
2021;Ciudad Bolívar;12;42;12;1;26
2021;Ciudad Bolívar;13;50;10;1;34
2021;Ciudad Bolívar;14;42;9;1;26
2021;Ciudad Bolívar;15;48;14;2;31
2021;Ciudad Bolívar;16;34;9;1;26
2021;Ciudad Bolívar;17;30;12;1;22
2021;Engativá;11;37;3;0;20
2021;Engativá;12;30;4;0;20
2021;Engativá;13;41;3;0;31
2021;Engativá;14;30;2;0;18
